species,family,order,length,length.measurement
Chromis_flavomaculata,Pomacentridae,Perciformes,16,TL
Chromis_fumea,Pomacentridae,Perciformes,10,SL
Chromis_iomelas,Pomacentridae,Perciformes,8,FL
Chromis_limbata,Pomacentridae,Perciformes,12,SL
Chromis_margaritifer,Pomacentridae,Perciformes,9,TL
Chromis_multilineata,Pomacentridae,Perciformes,20,TL
Chromis_nitida,Pomacentridae,Perciformes,7,SL
Chromis_notata,Pomacentridae,Perciformes,17,TL
Chromis_opercularis,Pomacentridae,Perciformes,16,TL
Chromis_ovatiformis,Pomacentridae,Perciformes,10,TL
Chromis_punctipinnis,Pomacentridae,Perciformes,25,SL
Chromis_retrofasciata,Pomacentridae,Perciformes,4,SL
Chromis_ternatensis,Pomacentridae,Perciformes,10,TL
Chromis_viridis,Pomacentridae,Perciformes,8,TL
Chromis_weberi,Pomacentridae,Perciformes,13.5,TL
Chromis_xanthochira,Pomacentridae,Perciformes,14,TL
Chromis_xanthopterygia,Pomacentridae,Perciformes,11.5,TL
Chromis_xanthura,Pomacentridae,Perciformes,15,TL
Chromobotia_macracanthus,Cobitidae,Cypriniformes,30,TL
Chromogobius_zebratus,Gobiidae,Perciformes,5.3,SL
Chrosomus_cumberlandensis,Cyprinidae,Cypriniformes,7.6,TL
Chrosomus_eos,Cyprinidae,Cypriniformes,8,TL
Chrosomus_erythrogaster,Cyprinidae,Cypriniformes,9.1,TL
Chrosomus_oreas,Cyprinidae,Cypriniformes,7.2,TL
Chrosomus_tennesseensis,Cyprinidae,Cypriniformes,7.2,TL
Chrysichthys_sp,Bagridae,Siluriformes,NA,NA
Chrysiptera_annulata,Pomacentridae,Perciformes,8,TL
Chrysiptera_brownriggii,Pomacentridae,Perciformes,8,TL
Chrysiptera_cyanea,Pomacentridae,Perciformes,8.5,TL
Chrysiptera_galba,Pomacentridae,Perciformes,7,SL
Chrysiptera_glauca,Pomacentridae,Perciformes,10,TL
Chrysiptera_hemicyanea,Pomacentridae,Perciformes,7,TL
Chrysiptera_kuiteri,Pomacentridae,Perciformes,7.5,TL
Chrysiptera_oxycephala,Pomacentridae,Perciformes,9,TL
Chrysiptera_rex,Pomacentridae,Perciformes,7,TL
Chrysiptera_rollandi,Pomacentridae,Perciformes,7.5,TL
Chrysiptera_springeri,Pomacentridae,Perciformes,5.5,TL
Chrysiptera_talboti,Pomacentridae,Perciformes,6,TL
Chrysiptera_taupou,Pomacentridae,Perciformes,8,TL
Chrysiptera_unimaculata,Pomacentridae,Perciformes,10,TL
Chrysoblephus_anglicus,Sparidae,Perciformes,100,TL
Chrysoblephus_cristiceps,Sparidae,Perciformes,NA,NA
Chuanchia_labiosa,Cyprinidae,Cypriniformes,25,NG
Cichla_intermedia,Cichlidae,Perciformes,55,TL
Cichla_jariina,Cichlidae,Perciformes,34,SL
Cichla_kelberi,Cichlidae,Perciformes,27.6,SL
Cichla_mirianae,Cichlidae,Perciformes,52,SL
Cichla_monoculus,Cichlidae,Perciformes,70,SL
Cichla_ocellaris,Cichlidae,Perciformes,74,TL
Cichla_orinocensis,Cichlidae,Perciformes,NA,NA
Cichla_pinima,Cichlidae,Perciformes,52,SL
Cichla_thyrorus,Cichlidae,Perciformes,43,SL
Cichla_vazzoleri,Cichlidae,Perciformes,41,SL
Cichlasoma_amazonarum,Cichlidae,Perciformes,11.4,SL
Cichlasoma_araguaiense,Cichlidae,Perciformes,NA,NA
Cichlasoma_atromaculatum,Cichlidae,Perciformes,25,TL
Cichlasoma_beani,Cichlidae,Perciformes,30,TL
Cichlasoma_bimaculatum,Cichlidae,Perciformes,12.3,SL
Cichlasoma_bocourti,Cichlidae,Perciformes,20,SL
Cichlasoma_boliviense,Cichlidae,Perciformes,10.7,SL
Cichlasoma_dimerus,Cichlidae,Perciformes,11.7,SL
Cichlasoma_festae,Cichlidae,Perciformes,25,TL
Cichlasoma_grammodes,Cichlidae,Perciformes,20.3,SL
Cichlasoma_istlanum,Cichlidae,Perciformes,30,TL
Cichlasoma_orinocense,Cichlidae,Perciformes,NA,NA
Cichlasoma_pearsei,Cichlidae,Perciformes,20,SL
Cichlasoma_portalegrense,Cichlidae,Perciformes,10.3,SL
Cichlasoma_pusillum,Cichlidae,Perciformes,6.6,SL
Cichlasoma_ramsdeni,Cichlidae,Perciformes,24,SL
Cichlasoma_salvini,Cichlidae,Perciformes,22,SL
Cichlasoma_taenia,Cichlidae,Perciformes,12.8,SL
Cichlasoma_trimaculatum,Cichlidae,Perciformes,36.5,SL
Cichlasoma_ufermanni,Cichlidae,Perciformes,25,SL
Cichlasoma_urophthalmus,Cichlidae,Perciformes,39.4,TL
Ciliata_mustela,Lotidae,Gadiformes,25,TL
Ciliata_septentrionalis,Lotidae,Gadiformes,20,TL
Cilus_gilberti,Sciaenidae,Perciformes,60,TL
Cinetodus_carinatus,Ariidae,Siluriformes,40,SL
Cinetodus_crassilabris,Ariidae,Siluriformes,50,SL
Cinetodus_froggatti,Ariidae,Siluriformes,48,SL
Cirrhilabrus_lubbocki,Labridae,Perciformes,8,TL
Cirrhinus_cirrhosus,Cyprinidae,Cypriniformes,100,SL
Cirrhinus_microlepis,Cyprinidae,Cypriniformes,65,SL
Cirrhinus_molitorella,Cyprinidae,Cypriniformes,55,TL
Cirrhitops_fasciatus,Cirrhitidae,Perciformes,12.7,TL
Cirrhitops_mascarenensis,Cirrhitidae,Perciformes,7.5,SL
Cirrhitus_pinnulatus,Cirrhitidae,Perciformes,30,TL
Cirrhitus_rivulatus,Cirrhitidae,Perciformes,60,TL
Citharichthys_macrops,Paralichthyidae,Pleuronectiformes,20,TL
Citharichthys_sordidus,Paralichthyidae,Pleuronectiformes,41,TL
Citharichthys_stigmaeus,Paralichthyidae,Pleuronectiformes,17,TL
Citharichthys_xanthostigma,Paralichthyidae,Pleuronectiformes,25,TL
Citharinus_sp,Citharinidae,Characiformes,NA,NA
Citharoides_macrolepis,Citharidae,Pleuronectiformes,25,TL
Citharus_linguatula,Citharidae,Pleuronectiformes,30,TL
Clariallabes_longicauda,Clariidae,Siluriformes,28,TL
Clarias_agboyiensis,Clariidae,Siluriformes,29,TL
Clarias_anguillaris,Clariidae,Siluriformes,100,TL
Clarias_batrachus,Clariidae,Siluriformes,47,TL
Clarias_buettikoferi,Clariidae,Siluriformes,19.2,TL
Clarias_buthupogon,Clariidae,Siluriformes,90,SL
Clarias_camerunensis,Clariidae,Siluriformes,46.6,TL
Clarias_dussumieri,Clariidae,Siluriformes,25,TL
Clarias_ebriensis,Clariidae,Siluriformes,31.5,TL
Clarias_fuscus,Clariidae,Siluriformes,24.5,SL
Clarias_gabonensis,Clariidae,Siluriformes,36,TL
Clarias_gariepinus,Clariidae,Siluriformes,170,TL
Clarias_intermedius,Clariidae,Siluriformes,NA,NA
Clarias_jaensis,Clariidae,Siluriformes,48.3,TL
Clarias_macrocephalus,Clariidae,Siluriformes,120,TL
Clarias_meladerma,Clariidae,Siluriformes,35,SL
Clarias_ngamensis,Clariidae,Siluriformes,73,TL
Clarias_nieuhofii,Clariidae,Siluriformes,50,TL
Clarias_pachynema,Clariidae,Siluriformes,35.6,TL
Clarias_stappersii,Clariidae,Siluriformes,41,SL
Clarias_theodorae,Clariidae,Siluriformes,35,TL
Clarias_werneri,Clariidae,Siluriformes,23,SL
Clariger_cosmurus,Gobiidae,Perciformes,2.7,SL
Clariger_exilis,Gobiidae,Perciformes,NA,NA
Clarotes_laticeps,Bagridae,Siluriformes,80,SL
Cleisthenes_herzensteini,Pleuronectidae,Pleuronectiformes,47,TL
Cleithracara_maronii,Cichlidae,Perciformes,7.1,SL
Clepticus_parrae,Labridae,Perciformes,30,TL
Clevelandia_ios,Gobiidae,Perciformes,6.4,SL
Clidoderma_asperrimum,Pleuronectidae,Pleuronectiformes,62,TL
Clinitrachus_argentatus,Clinidae,Perciformes,10,TL
Clinocottus_acuticeps,Cottidae,Scorpaeniformes,6.4,TL
Clinocottus_analis,Cottidae,Scorpaeniformes,18,TL
Clinocottus_embryum,Cottidae,Scorpaeniformes,7,TL
Clinocottus_globiceps,Cottidae,Scorpaeniformes,19,TL
Clinocottus_recalvus,Cottidae,Scorpaeniformes,13,TL
Clinostomus_elongatus,Cyprinidae,Cypriniformes,12,TL
Clinostomus_funduloides,Cyprinidae,Cypriniformes,11.5,TL
Clupanodon_thrissa,Clupeidae,Clupeiformes,26,SL
Clupea_harengus,Clupeidae,Clupeiformes,45,SL
Clupea_pallasii_pallasii,Clupeidae,Clupeiformes,46,TL
Clupisoma_garua,Schilbeidae,Siluriformes,60.9,SL
Clupisoma_longianalis,Schilbeidae,Siluriformes,13.3,SL
Cnesterodon_decemmaculatus,Poeciliidae,Cyprinodontiformes,3.6,SL
Cnesterodon_hypselurus,Poeciliidae,Cyprinodontiformes,3.1,SL
Cobitis_albicoloris,Cobitidae,Cypriniformes,NA,NA
Cobitis_arachthosensis,Cobitidae,Cypriniformes,NA,NA
Cobitis_bilineata,Cobitidae,Cypriniformes,6.5,SL
Cobitis_bilseli,Cobitidae,Cypriniformes,NA,NA
Cobitis_biwae,Cobitidae,Cypriniformes,9,TL
Cobitis_calderoni,Cobitidae,Cypriniformes,10,SL
Cobitis_choii,Cobitidae,Cypriniformes,8.5,TL
Cobitis_dolichorhynchus,Cobitidae,Cypriniformes,NA,NA
Cobitis_elazigensis,Cobitidae,Cypriniformes,16.3,SL
Cobitis_elongata,Cobitidae,Cypriniformes,9,SL
Cobitis_elongatoides,Cobitidae,Cypriniformes,7.5,SL
Cobitis_fahirae,Cobitidae,Cypriniformes,4.5,SL
Cobitis_granoei,Cobitidae,Cypriniformes,10,TL
Cobitis_hankugensis,Cobitidae,Cypriniformes,NA,NA
Cobitis_hellenica,Cobitidae,Cypriniformes,NA,NA
Cobitis_laterimaculata,Cobitidae,Cypriniformes,NA,NA
Cobitis_levantina,Cobitidae,Cypriniformes,NA,NA
Cobitis_linea,Cobitidae,Cypriniformes,6.5,SL
Cobitis_lutheri,Cobitidae,Cypriniformes,12,TL
Cobitis_macrostigma,Cobitidae,Cypriniformes,NA,NA
Cobitis_maroccana,Cobitidae,Cypriniformes,8,TL
Cobitis_matsubarai,Cobitidae,Cypriniformes,8,SL
Cobitis_melanoleuca_melanoleuca,Cobitidae,Cypriniformes,20,TL
Cobitis_meridionalis,Cobitidae,Cypriniformes,7,SL
Cobitis_misgurnoides,Cobitidae,Cypriniformes,NA,NA
Cobitis_pacifica,Cobitidae,Cypriniformes,NA,NA
Cobitis_paludica,Cobitidae,Cypriniformes,7,SL
Cobitis_puncticulata,Cobitidae,Cypriniformes,6.2,SL
Cobitis_shikokuensis,Cobitidae,Cypriniformes,4.5,SL
Cobitis_sinensis,Cobitidae,Cypriniformes,NA,NA
Cobitis_stephanidisi,Cobitidae,Cypriniformes,NA,NA
Cobitis_striata,Cobitidae,Cypriniformes,10,TL
Cobitis_strumicae,Cobitidae,Cypriniformes,7.5,SL
Cobitis_taenia,Cobitidae,Cypriniformes,13.5,TL
Cobitis_takatsuensis,Cobitidae,Cypriniformes,NA,NA
Cobitis_tetralineata,Cobitidae,Cypriniformes,NA,NA
Cobitis_trichonica,Cobitidae,Cypriniformes,5.5,SL
Cobitis_turcica,Cobitidae,Cypriniformes,8.1,SL
Cobitis_vardarensis,Cobitidae,Cypriniformes,NA,NA
Cobitis_vettonica,Cobitidae,Cypriniformes,6,SL
Cobitis_zanandreai,Cobitidae,Cypriniformes,6,SL
Cochlefelis_danielsi,Ariidae,Siluriformes,45,SL
Cochlefelis_spatula,Ariidae,Siluriformes,60,SL
Cochliodon_sp,Loricariidae,Siluriformes,NA,NA
Codoma_ornata,Cyprinidae,Cypriniformes,NA,NA
Coelorinchus_acanthiger,Macrouridae,Gadiformes,50,TL
Coelorinchus_anatirostris,Macrouridae,Gadiformes,43,TL
Coelorinchus_aspercephalus,Macrouridae,Gadiformes,34,TL
Coelorinchus_biclinozonalis,Macrouridae,Gadiformes,60,TL
Coelorinchus_bollonsi,Macrouridae,Gadiformes,NA,NA
Coelorinchus_caelorhincus,Macrouridae,Gadiformes,48,TL
Coelorinchus_caribbaeus,Macrouridae,Gadiformes,45,TL
Coelorinchus_fasciatus,Macrouridae,Gadiformes,50,TL
Coelorinchus_formosanus,Macrouridae,Gadiformes,25,TL
Coelorinchus_geronimo,Macrouridae,Gadiformes,26.5,TL
Coelorinchus_hubbsi,Macrouridae,Gadiformes,23,TL
Coelorinchus_innotabilis,Macrouridae,Gadiformes,32,TL
Coelorinchus_japonicus,Macrouridae,Gadiformes,75,TL
Coelorinchus_jordani,Macrouridae,Gadiformes,26,TL
Coelorinchus_kaiyomaru,Macrouridae,Gadiformes,43,TL
Coelorinchus_kamoharai,Macrouridae,Gadiformes,28,TL
Coelorinchus_kermadecus,Macrouridae,Gadiformes,NA,NA
Coelorinchus_kishinouyei,Macrouridae,Gadiformes,36,TL
Coelorinchus_longicephalus,Macrouridae,Gadiformes,89,TL
Coelorinchus_longissimus,Macrouridae,Gadiformes,36,SL
Coelorinchus_macrochir,Macrouridae,Gadiformes,68,TL
Coelorinchus_matamua,Macrouridae,Gadiformes,65,TL
Coelorinchus_multispinulosus,Macrouridae,Gadiformes,38,TL
Coelorinchus_oliverianus,Macrouridae,Gadiformes,35,TL
Coelorinchus_parvifasciatus,Macrouridae,Gadiformes,28.5,TL
Coelorinchus_polli,Macrouridae,Gadiformes,30,TL
Coelorinchus_productus,Macrouridae,Gadiformes,31,TL
Coelorinchus_scaphopsis,Macrouridae,Gadiformes,34,TL
Coelorinchus_smithi,Macrouridae,Gadiformes,32,TL
Coilia_brachygnathus,Engraulidae,Clupeiformes,27,SL
Coilia_grayii,Engraulidae,Clupeiformes,25,SL
Coilia_mystus,Engraulidae,Clupeiformes,20,SL
Coilia_nasus,Engraulidae,Clupeiformes,41,TL
Colisa_chuna,Osphronemidae,Perciformes,7,TL
Colisa_fasciata,Osphronemidae,Perciformes,12.5,TL
Colisa_labiosa,Osphronemidae,Perciformes,9,TL
Colisa_lalia,Osphronemidae,Perciformes,8.8,TL
Collichthys_lucidus,Sciaenidae,Perciformes,17,SL
Collichthys_niveatus,Sciaenidae,Perciformes,15,SL
Coloconger_cadenati,Colocongridae,Anguilliformes,90,TL
Cololabis_adocetus,Scomberesocidae,Beloniformes,5.1,SL
Cololabis_saira,Scomberesocidae,Beloniformes,40,SL
Colossoma_sp,Characidae,Characiformes,NA,NA
Comephorus_baikalensis,Comephoridae,Scorpaeniformes,21,TL
Comephorus_dybowskii,Comephoridae,Scorpaeniformes,16,TL
Compsaraia_compsus,Apteronotidae,Gymnotiformes,33.9,TL
Compsura_heterura,Characidae,Characiformes,3.7,TL
Conger_japonicus,Congridae,Anguilliformes,140,TL
Conger_oceanicus,Congridae,Anguilliformes,230,TL
Congiopodus_peruvianus,Congiopodidae,Scorpaeniformes,27.2,SL
Congresox_talabonoides,Muraenesocidae,Anguilliformes,250,TL
Conorhynchos_conirostris,Pimelodidae,Siluriformes,53.5,SL
Cookeolus_japonicus,Priacanthidae,Perciformes,68,TL
Copadichromis_borleyi,Cichlidae,Perciformes,14,TL
Coradion_altivelis,Chaetodontidae,Perciformes,18,TL
Coradion_chrysozonus,Chaetodontidae,Perciformes,15,TL
Coradion_melanopus,Chaetodontidae,Perciformes,15,TL
Coregonus_albula,Salmonidae,Salmoniformes,45,TL
Coregonus_artedi,Salmonidae,Salmoniformes,57,TL
Coregonus_autumnalis,Salmonidae,Salmoniformes,65,SL
Coregonus_baicalensis,Salmonidae,Salmoniformes,60,TL
Coregonus_baunti,Salmonidae,Salmoniformes,NA,NA
Coregonus_chadary,Salmonidae,Salmoniformes,60,TL
Coregonus_clupeaformis,Salmonidae,Salmoniformes,100,TL
Coregonus_lavaretus,Salmonidae,Salmoniformes,73,TL
Coregonus_muksun,Salmonidae,Salmoniformes,90,SL
Coregonus_nasus,Salmonidae,Salmoniformes,61,SL
Coregonus_oxyrinchus,Salmonidae,Salmoniformes,50,TL
Coregonus_peled,Salmonidae,Salmoniformes,50,TL
Coregonus_sardinella,Salmonidae,Salmoniformes,47,TL
Coregonus_tugun_tugun,Salmonidae,Salmoniformes,20,TL
Coregonus_ussuriensis,Salmonidae,Salmoniformes,60,TL
Coregonus_widegreni,Salmonidae,Salmoniformes,55,SL
Coreius_guichenoti,Cyprinidae,Cypriniformes,35.7,SL
Coreius_heterodon,Cyprinidae,Cypriniformes,25,TL
Coreobagrus_brevicorpus,Bagridae,Siluriformes,9.2,TL
Coreobagrus_ichikawai,Bagridae,Siluriformes,10.8,SL
Coreoleuciscus_splendidus,Cyprinidae,Cypriniformes,15,TL
Coreoperca_herzi,Sinipercidae,Perciformes,NA,NA
Coreoperca_kawamebari,Sinipercidae,Perciformes,11,SL
Coreoperca_whiteheadi,Sinipercidae,Perciformes,NA,NA
Coris_aurilineata,Labridae,Perciformes,14,TL
Coris_aygula,Labridae,Perciformes,120,TL
Coris_batuensis,Labridae,Perciformes,17,TL
Coris_dorsomacula,Labridae,Perciformes,20,TL
Coris_flavovittata,Labridae,Perciformes,50.8,SL
Coris_gaimard,Labridae,Perciformes,40,TL
Coris_julis,Labridae,Perciformes,30,SL
Coris_picta,Labridae,Perciformes,25,TL
Coris_pictoides,Labridae,Perciformes,15,TL
Corumbataia_cuestae,Loricariidae,Siluriformes,3.3,SL
Corumbataia_tocantinensis,Loricariidae,Siluriformes,3.8,SL
Corydoras_acrensis,Callichthyidae,Siluriformes,3,SL
Corydoras_acutus,Callichthyidae,Siluriformes,4.4,SL
Corydoras_adolfoi,Callichthyidae,Siluriformes,5.7,SL
Corydoras_aeneus,Callichthyidae,Siluriformes,7.5,SL
Corydoras_agassizii,Callichthyidae,Siluriformes,5.2,SL
Corydoras_albolineatus,Callichthyidae,Siluriformes,3.7,SL
Corydoras_amapaensis,Callichthyidae,Siluriformes,7,SL
Corydoras_ambiacus,Callichthyidae,Siluriformes,4.9,SL
Corydoras_araguaiaensis,Callichthyidae,Siluriformes,3.5,SL
Corydoras_arcuatus,Callichthyidae,Siluriformes,4,SL
Corydoras_armatus,Callichthyidae,Siluriformes,5,SL
Corydoras_atropersonatus,Callichthyidae,Siluriformes,4.5,SL
Corydoras_aurofrenatus,Callichthyidae,Siluriformes,NA,NA
Corydoras_axelrodi,Callichthyidae,Siluriformes,4.2,SL
Corydoras_bicolor,Callichthyidae,Siluriformes,3,SL
Corydoras_bilineatus,Callichthyidae,Siluriformes,5,SL
Corydoras_blochi,Callichthyidae,Siluriformes,4.9,SL
Corydoras_boesemani,Callichthyidae,Siluriformes,NA,NA
Corydoras_bondi,Callichthyidae,Siluriformes,4.7,SL
Corydoras_breei,Callichthyidae,Siluriformes,3.9,SL
Corydoras_brevirostris,Callichthyidae,Siluriformes,5,SL
Corydoras_burgessi,Callichthyidae,Siluriformes,4.8,SL
Corydoras_caudimaculatus,Callichthyidae,Siluriformes,4.2,SL
Corydoras_cervinus,Callichthyidae,Siluriformes,4.9,SL
Corydoras_concolor,Callichthyidae,Siluriformes,5.4,SL
Corydoras_condiscipulus,Callichthyidae,Siluriformes,5.1,SL
Corydoras_copei,Callichthyidae,Siluriformes,3.9,SL
Corydoras_coppenamensis,Callichthyidae,Siluriformes,3.1,SL
Corydoras_coriatae,Callichthyidae,Siluriformes,6.5,SL
Corydoras_cruziensis,Callichthyidae,Siluriformes,4.3,SL
Corydoras_crypticus,Callichthyidae,Siluriformes,4.5,SL
Corydoras_davidsandsi,Callichthyidae,Siluriformes,4.4,SL
Corydoras_delphax,Callichthyidae,Siluriformes,4.9,SL
Corydoras_difluviatilis,Callichthyidae,Siluriformes,4.7,SL
Corydoras_diphyes,Callichthyidae,Siluriformes,4.5,SL
Corydoras_duplicareus,Callichthyidae,Siluriformes,4,SL
Corydoras_ehrhardti,Callichthyidae,Siluriformes,4.1,SL
Corydoras_elegans,Callichthyidae,Siluriformes,5.1,SL
Corydoras_ellisae,Callichthyidae,Siluriformes,5,SL
Corydoras_ephippifer,Callichthyidae,Siluriformes,5,SL
Corydoras_eques,Callichthyidae,Siluriformes,4.8,SL
Corydoras_filamentosus,Callichthyidae,Siluriformes,3.2,SL
Corydoras_flaveolus,Callichthyidae,Siluriformes,3.4,SL
Corydoras_fowleri,Callichthyidae,Siluriformes,6,SL
Corydoras_garbei,Callichthyidae,Siluriformes,NA,NA
Corydoras_geoffroy,Callichthyidae,Siluriformes,7,SL
Corydoras_geryi,Callichthyidae,Siluriformes,5.8,SL
Corydoras_gomezi,Callichthyidae,Siluriformes,3.7,SL
Corydoras_gossei,Callichthyidae,Siluriformes,5.5,SL
Corydoras_gracilis,Callichthyidae,Siluriformes,2.3,SL
Corydoras_griseus,Callichthyidae,Siluriformes,4.2,SL
Corydoras_guapore,Callichthyidae,Siluriformes,4.1,SL
Corydoras_guianensis,Callichthyidae,Siluriformes,4.2,SL
Corydoras_habrosus,Callichthyidae,Siluriformes,2,SL
Corydoras_haraldschultzi,Callichthyidae,Siluriformes,5.9,SL
Corydoras_hastatus,Callichthyidae,Siluriformes,2.4,SL
Corydoras_imitator,Callichthyidae,Siluriformes,5.6,SL
Corydoras_julii,Callichthyidae,Siluriformes,5.2,SL
Corydoras_kanei,Callichthyidae,Siluriformes,3.8,SL
Corydoras_kristinae,Callichthyidae,Siluriformes,NA,NA
Corydoras_lacerdai,Callichthyidae,Siluriformes,3.4,SL
Corydoras_leopardus,Callichthyidae,Siluriformes,6.1,SL
Corydoras_leucomelas,Callichthyidae,Siluriformes,4.5,SL
Corydoras_loretoensis,Callichthyidae,Siluriformes,3.6,SL
Corydoras_loxozonus,Callichthyidae,Siluriformes,4.9,SL
Corydoras_maculifer,Callichthyidae,Siluriformes,5.9,SL
Corydoras_melanistius,Callichthyidae,Siluriformes,5.1,SL
Corydoras_melanotaenia,Callichthyidae,Siluriformes,5.8,SL
Corydoras_melini,Callichthyidae,Siluriformes,5,SL
Corydoras_metae,Callichthyidae,Siluriformes,4.8,SL
Corydoras_multimaculatus,Callichthyidae,Siluriformes,5.1,SL
Corydoras_nanus,Callichthyidae,Siluriformes,4.5,SL
Corydoras_napoensis,Callichthyidae,Siluriformes,4.2,SL
Corydoras_narcissus,Callichthyidae,Siluriformes,6.5,SL
Corydoras_nattereri,Callichthyidae,Siluriformes,5.4,SL
Corydoras_nijsseni,Callichthyidae,Siluriformes,3,SL
Corydoras_oiapoquensis,Callichthyidae,Siluriformes,4.5,SL
Corydoras_ornatus,Callichthyidae,Siluriformes,4.9,SL
Corydoras_osteocarus,Callichthyidae,Siluriformes,4,SL
Corydoras_oxyrhynchus,Callichthyidae,Siluriformes,5,SL
Corydoras_paleatus,Callichthyidae,Siluriformes,5.9,SL
Corydoras_panda,Callichthyidae,Siluriformes,3.8,SL
Corydoras_pantanalensis,Callichthyidae,Siluriformes,6.9,SL
Corydoras_paragua,Callichthyidae,Siluriformes,3.5,SL
Corydoras_pastazensis,Callichthyidae,Siluriformes,6.1,SL
Corydoras_polystictus,Callichthyidae,Siluriformes,3.5,SL
Corydoras_potaroensis,Callichthyidae,Siluriformes,4.1,SL
Corydoras_pulcher,Callichthyidae,Siluriformes,5,SL
Corydoras_punctatus,Callichthyidae,Siluriformes,6.6,SL
Corydoras_pygmaeus,Callichthyidae,Siluriformes,2.1,SL
Corydoras_rabauti,Callichthyidae,Siluriformes,5,SL
Corydoras_reticulatus,Callichthyidae,Siluriformes,6.1,SL
Corydoras_reynoldsi,Callichthyidae,Siluriformes,3.2,SL
Corydoras_robineae,Callichthyidae,Siluriformes,4.4,SL
Corydoras_robustus,Callichthyidae,Siluriformes,7.1,SL
Corydoras_schwartzi,Callichthyidae,Siluriformes,3.9,SL
Corydoras_semiaquilus,Callichthyidae,Siluriformes,6,SL
Corydoras_septentrionalis,Callichthyidae,Siluriformes,4.9,SL
Corydoras_serratus,Callichthyidae,Siluriformes,4.9,SL
Corydoras_seussi,Callichthyidae,Siluriformes,6,SL
Corydoras_similis,Callichthyidae,Siluriformes,3.8,SL
Corydoras_simulatus,Callichthyidae,Siluriformes,4.9,SL
Corydoras_sipaliwini,Callichthyidae,Siluriformes,4.6,SL
Corydoras_sodalis,Callichthyidae,Siluriformes,4.9,SL
Corydoras_solox,Callichthyidae,Siluriformes,6.3,SL
Corydoras_spilurus,Callichthyidae,Siluriformes,5.8,SL
Corydoras_stenocephalus,Callichthyidae,Siluriformes,6.4,SL
Corydoras_sterbai,Callichthyidae,Siluriformes,6.8,SL
Corydoras_treitlii,Callichthyidae,Siluriformes,5.9,SL
Corydoras_trilineatus,Callichthyidae,Siluriformes,6.1,SL
Corydoras_tukano,Callichthyidae,Siluriformes,4.1,SL
Corydoras_undulatus,Callichthyidae,Siluriformes,4.4,SL
Corydoras_virginiae,Callichthyidae,Siluriformes,5.1,SL
Corydoras_vittatus,Callichthyidae,Siluriformes,3.6,SL
Corydoras_weitzmani,Callichthyidae,Siluriformes,NA,NA
Corydoras_zygatus,Callichthyidae,Siluriformes,5.6,SL
Corynopoma_riisei,Characidae,Characiformes,4.8,SL
Coryphaena_equiselis,Coryphaenidae,Perciformes,127,TL
Coryphaena_hippurus,Coryphaenidae,Perciformes,210,TL
Coryphaenoides_acrolepis,Macrouridae,Gadiformes,104,TL
Coryphaenoides_alateralis,Macrouridae,Gadiformes,26.5,TL
Coryphaenoides_cinereus,Macrouridae,Gadiformes,66,TL
Coryphaenoides_dossenus,Macrouridae,Gadiformes,NA,NA
Coryphaenoides_filifer,Macrouridae,Gadiformes,55,TL
Coryphaenoides_guentheri,Macrouridae,Gadiformes,50,TL
Coryphaenoides_longifilis,Macrouridae,Gadiformes,110,TL
Coryphaenoides_marginatus,Macrouridae,Gadiformes,62,TL
Coryphaenoides_marshalli,Macrouridae,Gadiformes,50,TL
Coryphaenoides_nasutus,Macrouridae,Gadiformes,47,TL
Coryphaenoides_paramarshalli,Macrouridae,Gadiformes,NA,NA
Coryphaenoides_rupestris,Macrouridae,Gadiformes,110,TL
Coryphaenoides_serrulatus,Macrouridae,Gadiformes,45,TL
Coryphaenoides_subserrulatus,Macrouridae,Gadiformes,37,TL
Coryphaenoides_yaquinae,Macrouridae,Gadiformes,NA,NA
Coryphaenoides_zaniophorus,Macrouridae,Gadiformes,40,TL
Coryphoblennius_galerita,Blenniidae,Perciformes,7.6,SL
Coryphopterus_dicrus,Gobiidae,Perciformes,5,TL
Coryphopterus_personatus,Gobiidae,Perciformes,4,TL
Corythoichthys_haematopterus,Syngnathidae,Syngnathiformes,NA,NA
Corythoichthys_intestinalis,Syngnathidae,Syngnathiformes,NA,NA
Cottinella_boulengeri,Abyssocottidae,Scorpaeniformes,12.2,TL
Cottiusculus_gonez,Cottidae,Scorpaeniformes,10,SL
Cottiusculus_schmidti,Cottidae,Scorpaeniformes,10,TL
Cottocomephorus_grewingkii,Cottocomephoridae,Scorpaeniformes,19,TL
Cottocomephorus_inermis,Cottocomephoridae,Scorpaeniformes,22,TL
Cottoperca_gobio,Bovichthyidae,Perciformes,80,TL
Cottus_aleuticus,Cottidae,Scorpaeniformes,17,TL
Cottus_amblystomopsis,Cottidae,Scorpaeniformes,20.8,TL
Cottus_asper,Cottidae,Scorpaeniformes,30,TL
Cottus_asperrimus,Cottidae,Scorpaeniformes,9.6,TL
Cottus_baileyi,Cottidae,Scorpaeniformes,8.4,TL
Cottus_bairdii,Cottidae,Scorpaeniformes,15,TL
Cottus_beldingii,Cottidae,Scorpaeniformes,13,TL
Cottus_bendirei,Cottidae,Scorpaeniformes,NA,NA
Cottus_caeruleomentum,Cottidae,Scorpaeniformes,6.3,SL
Cottus_carolinae,Cottidae,Scorpaeniformes,18,TL
Cottus_cognatus,Cottidae,Scorpaeniformes,12.1,TL
Cottus_confusus,Cottidae,Scorpaeniformes,15,TL
